==================================================
Results for TC1.txt:
Decimal: 6980368, Binary: 11010101000001100010000, Hexadecimal: 6A8310
Decimal: 1864844, Binary: 111000111010010001100, Hexadecimal: 1C748C
Decimal: 3329962, Binary: 1100101100111110101010, Hexadecimal: 32CFAA
Decimal: 3942794, Binary: 1111000010100110001010, Hexadecimal: 3C298A
Decimal: 2614836, Binary: 1001111110011000110100, Hexadecimal: 27E634
Decimal: 7406772, Binary: 11100010000010010110100, Hexadecimal: 7104B4
Decimal: 2384190, Binary: 1001000110000100111110, Hexadecimal: 24613E
Decimal: 398347, Binary: 1100001010000001011, Hexadecimal: 6140B
Decimal: 8698503, Binary: 100001001011101010000111, Hexadecimal: 84BA87
Decimal: 9551696, Binary: 100100011011111101010000, Hexadecimal: 91BF50
Decimal: 1019556, Binary: 11111000111010100100, Hexadecimal: F8EA4
Decimal: 1677430, Binary: 110011001100001110110, Hexadecimal: 199876
Decimal: 3479629, Binary: 1101010001100001001101, Hexadecimal: 35184D
Decimal: 9309008, Binary: 100011100000101101010000, Hexadecimal: 8E0B50
Decimal: 5266170, Binary: 10100000101101011111010, Hexadecimal: 505AFA
Decimal: 4094340, Binary: 1111100111100110000100, Hexadecimal: 3E7984
Decimal: 1754055, Binary: 110101100001111000111, Hexadecimal: 1AC3C7
Decimal: 5861132, Binary: 10110010110111100001100, Hexadecimal: 596F0C
Decimal: 4471329, Binary: 10001000011101000100001, Hexadecimal: 443A21
Decimal: 8826052, Binary: 100001101010110011000100, Hexadecimal: 86ACC4
Decimal: 7469325, Binary: 11100011111100100001101, Hexadecimal: 71F90D
Decimal: 1973172, Binary: 111100001101110110100, Hexadecimal: 1E1BB4
Decimal: 53145, Binary: 1100111110011001, Hexadecimal: CF99
Decimal: 3897508, Binary: 1110110111100010100100, Hexadecimal: 3B78A4
Decimal: 7773386, Binary: 11101101001110011001010, Hexadecimal: 769CCA
Decimal: 6089829, Binary: 10111001110110001100101, Hexadecimal: 5CEC65
Decimal: 4223424, Binary: 10000000111000111000000, Hexadecimal: 4071C0
Decimal: 9761752, Binary: 100101001111001111011000, Hexadecimal: 94F3D8
Decimal: 7930799, Binary: 11110010000001110101111, Hexadecimal: 7903AF
Decimal: 3597495, Binary: 1101101110010010110111, Hexadecimal: 36E4B7
Decimal: 9302948, Binary: 100011011111001110100100, Hexadecimal: 8DF3A4
Decimal: 2288712, Binary: 1000101110110001001000, Hexadecimal: 22EC48
Decimal: 197187, Binary: 110000001001000011, Hexadecimal: 30243
Decimal: 5266939, Binary: 10100000101110111111011, Hexadecimal: 505DFB
Decimal: 221545, Binary: 110110000101101001, Hexadecimal: 36169
Decimal: 7957027, Binary: 11110010110101000100011, Hexadecimal: 796A23
Decimal: 3195361, Binary: 1100001100000111100001, Hexadecimal: 30C1E1
Decimal: 7106269, Binary: 11011000110111011011101, Hexadecimal: 6C6EDD
Decimal: 9633312, Binary: 100100101111111000100000, Hexadecimal: 92FE20
Decimal: 9713704, Binary: 100101000011100000101000, Hexadecimal: 943828
Decimal: 91925, Binary: 10110011100010101, Hexadecimal: 16715
Decimal: 4418686, Binary: 10000110110110001111110, Hexadecimal: 436C7E
Decimal: 9682250, Binary: 100100111011110101001010, Hexadecimal: 93BD4A
Decimal: 2583824, Binary: 1001110110110100010000, Hexadecimal: 276D10
Decimal: 4979126, Binary: 10010111111100110110110, Hexadecimal: 4BF9B6
Decimal: 6280954, Binary: 10111111101011011111010, Hexadecimal: 5FD6FA
Decimal: 1228610, Binary: 100101011111101000010, Hexadecimal: 12BF42
Decimal: 705518, Binary: 10101100001111101110, Hexadecimal: AC3EE
Decimal: 1017653, Binary: 11111000011100110101, Hexadecimal: F8735
Decimal: 500098, Binary: 1111010000110000010, Hexadecimal: 7A182
Decimal: 7210727, Binary: 11011100000011011100111, Hexadecimal: 6E06E7
Decimal: 4250898, Binary: 10000001101110100010010, Hexadecimal: 40DD12
Decimal: 4055028, Binary: 1111011101111111110100, Hexadecimal: 3DDFF4
Decimal: 2754240, Binary: 1010100000011011000000, Hexadecimal: 2A06C0
Decimal: 452999, Binary: 1101110100110000111, Hexadecimal: 6E987
Decimal: 6831458, Binary: 11010000011110101100010, Hexadecimal: 683D62
Decimal: 207636, Binary: 110010101100010100, Hexadecimal: 32B14
Decimal: 7280635, Binary: 11011110001011111111011, Hexadecimal: 6F17FB
Decimal: 3308937, Binary: 1100100111110110001001, Hexadecimal: 327D89
Decimal: 4303570, Binary: 10000011010101011010010, Hexadecimal: 41AAD2
Decimal: 8375055, Binary: 11111111100101100001111, Hexadecimal: 7FCB0F
Decimal: 1457960, Binary: 101100011111100101000, Hexadecimal: 163F28
Decimal: 5197625, Binary: 10011110100111100111001, Hexadecimal: 4F4F39
Decimal: 3144371, Binary: 1011111111101010110011, Hexadecimal: 2FFAB3
Decimal: 6674138, Binary: 11001011101011011011010, Hexadecimal: 65D6DA
Decimal: 2692106, Binary: 1010010001010000001010, Hexadecimal: 29140A
Decimal: 2276769, Binary: 1000101011110110100001, Hexadecimal: 22BDA1
Decimal: 1940971, Binary: 111011001110111101011, Hexadecimal: 1D9DEB
Decimal: 3288264, Binary: 1100100010110011001000, Hexadecimal: 322CC8
Decimal: 4819803, Binary: 10010011000101101011011, Hexadecimal: 498B5B
Decimal: 9431005, Binary: 100011111110011111011101, Hexadecimal: 8FE7DD
Decimal: 3992019, Binary: 1111001110100111010011, Hexadecimal: 3CE9D3
Decimal: 8184782, Binary: 11111001110001111001110, Hexadecimal: 7CE3CE
Decimal: 2847975, Binary: 1010110111010011100111, Hexadecimal: 2B74E7
Decimal: 7891025, Binary: 11110000110100001010001, Hexadecimal: 786851
Decimal: 900082, Binary: 11011011101111110010, Hexadecimal: DBBF2
Decimal: 1831532, Binary: 110111111001001101100, Hexadecimal: 1BF26C
Decimal: 8428253, Binary: 100000001001101011011101, Hexadecimal: 809ADD
Decimal: 2905752, Binary: 1011000101011010011000, Hexadecimal: 2C5698
Decimal: 9763121, Binary: 100101001111100100110001, Hexadecimal: 94F931
Decimal: 257890, Binary: 111110111101100010, Hexadecimal: 3EF62
Decimal: 4699761, Binary: 10001111011011001110001, Hexadecimal: 47B671
Decimal: 359541, Binary: 1010111110001110101, Hexadecimal: 57C75
Decimal: 3446150, Binary: 1101001001010110000110, Hexadecimal: 349586
Decimal: 4246818, Binary: 10000001100110100100010, Hexadecimal: 40CD22
Decimal: 1848840, Binary: 111000011011000001000, Hexadecimal: 1C3608
Decimal: 938480, Binary: 11100101000111110000, Hexadecimal: E51F0
Decimal: 227465, Binary: 110111100010001001, Hexadecimal: 37889
Decimal: 3923488, Binary: 1110111101111000100000, Hexadecimal: 3BDE20
Decimal: 8915697, Binary: 100010000000101011110001, Hexadecimal: 880AF1
Decimal: 4309094, Binary: 10000011100000001100110, Hexadecimal: 41C066
Decimal: 3891251, Binary: 1110110110000000110011, Hexadecimal: 3B6033
Decimal: 8627956, Binary: 100000111010011011110100, Hexadecimal: 83A6F4
Decimal: 5884613, Binary: 10110011100101011000101, Hexadecimal: 59CAC5
Decimal: 1659318, Binary: 110010101000110110110, Hexadecimal: 1951B6
Decimal: 1834855, Binary: 110111111111101100111, Hexadecimal: 1BFF67
Decimal: 3386751, Binary: 1100111010110101111111, Hexadecimal: 33AD7F
Decimal: 3000166, Binary: 1011011100011101100110, Hexadecimal: 2DC766
Decimal: 9135626, Binary: 100010110110011000001010, Hexadecimal: 8B660A
Decimal: 4869260, Binary: 10010100100110010001100, Hexadecimal: 4A4C8C
Decimal: 76550, Binary: 10010101100000110, Hexadecimal: 12B06
Decimal: 432271, Binary: 1101001100010001111, Hexadecimal: 6988F
Decimal: 251028, Binary: 111101010010010100, Hexadecimal: 3D494
Decimal: 7016218, Binary: 11010110000111100011010, Hexadecimal: 6B0F1A
Decimal: 6896099, Binary: 11010010011100111100011, Hexadecimal: 6939E3
Decimal: 8386350, Binary: 11111111111011100101110, Hexadecimal: 7FF72E
Decimal: 8637147, Binary: 100000111100101011011011, Hexadecimal: 83CADB
Decimal: 936705, Binary: 11100100101100000001, Hexadecimal: E4B01
Decimal: 6602175, Binary: 11001001011110110111111, Hexadecimal: 64BDBF
Decimal: 1429181, Binary: 101011100111010111101, Hexadecimal: 15CEBD
Decimal: 8395138, Binary: 100000000001100110000010, Hexadecimal: 801982
Decimal: 6132809, Binary: 10111011001010001001001, Hexadecimal: 5D9449
Decimal: 5936917, Binary: 10110101001011100010101, Hexadecimal: 5A9715
Decimal: 2878578, Binary: 1010111110110001110010, Hexadecimal: 2BEC72
Decimal: 158885, Binary: 100110110010100101, Hexadecimal: 26CA5
Decimal: 2441957, Binary: 1001010100001011100101, Hexadecimal: 2542E5
Decimal: 5914794, Binary: 10110100100000010101010, Hexadecimal: 5A40AA
Decimal: 3999272, Binary: 1111010000011000101000, Hexadecimal: 3D0628
Decimal: 3142897, Binary: 1011111111010011110001, Hexadecimal: 2FF4F1
Decimal: 8151159, Binary: 11111000110000001110111, Hexadecimal: 7C6077
Decimal: 5147564, Binary: 10011101000101110101100, Hexadecimal: 4E8BAC
Decimal: 4595374, Binary: 10001100001111010101110, Hexadecimal: 461EAE
Decimal: 4234951, Binary: 10000001001111011000111, Hexadecimal: 409EC7
Decimal: 7880605, Binary: 11110000011111110011101, Hexadecimal: 783F9D
Decimal: 7009921, Binary: 11010101111011010000001, Hexadecimal: 6AF681
Decimal: 695580, Binary: 10101001110100011100, Hexadecimal: A9D1C
Decimal: 7370443, Binary: 11100000111011011001011, Hexadecimal: 7076CB
Decimal: 7921729, Binary: 11110001110000001000001, Hexadecimal: 78E041
Decimal: 8419625, Binary: 100000000111100100101001, Hexadecimal: 807929
Decimal: 7024080, Binary: 11010110010110111010000, Hexadecimal: 6B2DD0
Decimal: 3905988, Binary: 1110111001100111000100, Hexadecimal: 3B99C4
Decimal: 1767599, Binary: 110101111100010101111, Hexadecimal: 1AF8AF
Decimal: 935136, Binary: 11100100010011100000, Hexadecimal: E44E0
Decimal: 635788, Binary: 10011011001110001100, Hexadecimal: 9B38C
Decimal: 8807719, Binary: 100001100110010100100111, Hexadecimal: 866527
Decimal: 317375, Binary: 1001101011110111111, Hexadecimal: 4D7BF
Decimal: 9975410, Binary: 100110000011011001110010, Hexadecimal: 983672
Decimal: 2727968, Binary: 1010011010000000100000, Hexadecimal: 29A020
Decimal: 7444399, Binary: 11100011001011110101111, Hexadecimal: 7197AF
Decimal: 4065675, Binary: 1111100000100110001011, Hexadecimal: 3E098B
Decimal: 9925720, Binary: 100101110111010001011000, Hexadecimal: 977458
Decimal: 2293633, Binary: 1000101111111110000001, Hexadecimal: 22FF81
Decimal: 7734826, Binary: 11101100000011000101010, Hexadecimal: 76062A
Decimal: 1065463, Binary: 100000100000111110111, Hexadecimal: 1041F7
Decimal: 1105617, Binary: 100001101111011010001, Hexadecimal: 10DED1
Decimal: 5325800, Binary: 10100010100001111101000, Hexadecimal: 5143E8
Decimal: 3822527, Binary: 1110100101001110111111, Hexadecimal: 3A53BF
Decimal: 5503858, Binary: 10100111111101101110010, Hexadecimal: 53FB72
Decimal: 9214055, Binary: 100011001001100001100111, Hexadecimal: 8C9867
Decimal: 6521769, Binary: 11000111000001110101001, Hexadecimal: 6383A9
Decimal: 7923796, Binary: 11110001110100001010100, Hexadecimal: 78E854
Decimal: 5250236, Binary: 10100000001110010111100, Hexadecimal: 501CBC
Decimal: 1083154, Binary: 100001000011100010010, Hexadecimal: 108712
Decimal: 472141, Binary: 1110011010001001101, Hexadecimal: 7344D
Decimal: 9597454, Binary: 100100100111001000001110, Hexadecimal: 92720E
Decimal: 1581679, Binary: 110000010001001101111, Hexadecimal: 18226F
Decimal: 656751, Binary: 10100000010101101111, Hexadecimal: A056F
Decimal: 345464, Binary: 1010100010101111000, Hexadecimal: 54578
Decimal: 4281218, Binary: 10000010101001110000010, Hexadecimal: 415382
Decimal: 6558883, Binary: 11001000001010010100011, Hexadecimal: 6414A3
Decimal: 3852986, Binary: 1110101100101010111010, Hexadecimal: 3ACABA
Decimal: 6263187, Binary: 10111111001000110010011, Hexadecimal: 5F9193
Decimal: 5828308, Binary: 10110001110111011010100, Hexadecimal: 58EED4
Decimal: 8058535, Binary: 11110101111011010100111, Hexadecimal: 7AF6A7
Decimal: 9035191, Binary: 100010011101110110110111, Hexadecimal: 89DDB7
Decimal: 7922103, Binary: 11110001110000110110111, Hexadecimal: 78E1B7
Decimal: 9366003, Binary: 100011101110100111110011, Hexadecimal: 8EE9F3
Decimal: 4555717, Binary: 10001011000001111000101, Hexadecimal: 4583C5
Decimal: 3526753, Binary: 1101011101000001100001, Hexadecimal: 35D061
Decimal: 3176815, Binary: 1100000111100101101111, Hexadecimal: 30796F
Decimal: 858440, Binary: 11010001100101001000, Hexadecimal: D1948
Decimal: 2250854, Binary: 1000100101100001100110, Hexadecimal: 225866

Execution Time: 0.001998 seconds
==================================================

==================================================
Results for TC2.txt:
Decimal: 7116776, Binary: 11011001001011111101000, Hexadecimal: 6C97E8
Decimal: 1666340, Binary: 110010110110100100100, Hexadecimal: 196D24
Decimal: 8886983, Binary: 100001111001101011000111, Hexadecimal: 879AC7
Decimal: 839365, Binary: 11001100111011000101, Hexadecimal: CCEC5
Decimal: 924280, Binary: 11100001101001111000, Hexadecimal: E1A78
Decimal: 1026310, Binary: 11111010100100000110, Hexadecimal: FA906
Decimal: 1615293, Binary: 110001010010110111101, Hexadecimal: 18A5BD
Decimal: 1063875, Binary: 100000011101111000011, Hexadecimal: 103BC3
Decimal: 679035, Binary: 10100101110001111011, Hexadecimal: A5C7B
Decimal: 5201970, Binary: 10011110110000000110010, Hexadecimal: 4F6032
Decimal: 593979, Binary: 10010001000000111011, Hexadecimal: 9103B
Decimal: 801371, Binary: 11000011101001011011, Hexadecimal: C3A5B
Decimal: 3796878, Binary: 1110011110111110001110, Hexadecimal: 39EF8E
Decimal: 7489201, Binary: 11100100100011010110001, Hexadecimal: 7246B1
Decimal: 9740020, Binary: 100101001001111011110100, Hexadecimal: 949EF4
Decimal: 9128737, Binary: 100010110100101100100001, Hexadecimal: 8B4B21
Decimal: 5473463, Binary: 10100111000010010110111, Hexadecimal: 5384B7
Decimal: 8701957, Binary: 100001001100100000000101, Hexadecimal: 84C805
Decimal: 8238050, Binary: 11111011011001111100010, Hexadecimal: 7DB3E2
Decimal: 8679038, Binary: 100001000110111001111110, Hexadecimal: 846E7E
Decimal: 385912, Binary: 1011110001101111000, Hexadecimal: 5E378
Decimal: 5867340, Binary: 10110011000011101001100, Hexadecimal: 59874C
Decimal: 4894542, Binary: 10010101010111101001110, Hexadecimal: 4AAF4E
Decimal: 8999451, Binary: 100010010101001000011011, Hexadecimal: 89521B
Decimal: 4392535, Binary: 10000110000011001010111, Hexadecimal: 430657
Decimal: 2078131, Binary: 111111011010110110011, Hexadecimal: 1FB5B3
Decimal: 3070124, Binary: 1011101101100010101100, Hexadecimal: 2ED8AC
Decimal: 7451998, Binary: 11100011011010101011110, Hexadecimal: 71B55E
Decimal: 5635510, Binary: 10101011111110110110110, Hexadecimal: 55FDB6
Decimal: 1233932, Binary: 100101101010000001100, Hexadecimal: 12D40C
Decimal: 6089867, Binary: 10111001110110010001011, Hexadecimal: 5CEC8B
Decimal: 1792316, Binary: 110110101100100111100, Hexadecimal: 1B593C
Decimal: 6298637, Binary: 11000000001110000001101, Hexadecimal: 601C0D
Decimal: 2408038, Binary: 1001001011111001100110, Hexadecimal: 24BE66
Decimal: 8510100, Binary: 100000011101101010010100, Hexadecimal: 81DA94
Decimal: 991581, Binary: 11110010000101011101, Hexadecimal: F215D
Decimal: 6455739, Binary: 11000101000000110111011, Hexadecimal: 6281BB
Decimal: 7829175, Binary: 11101110111011010110111, Hexadecimal: 7776B7
Decimal: 6328931, Binary: 11000001001001001100011, Hexadecimal: 609263
Decimal: 9982305, Binary: 100110000101000101100001, Hexadecimal: 985161
Decimal: 2292022, Binary: 1000101111100100110110, Hexadecimal: 22F936
Decimal: 1070496, Binary: 100000101010110100000, Hexadecimal: 1055A0
Decimal: 8518360, Binary: 100000011111101011011000, Hexadecimal: 81FAD8
Decimal: 6378470, Binary: 11000010101001111100110, Hexadecimal: 6153E6
Decimal: 7756258, Binary: 11101100101100111100010, Hexadecimal: 7659E2
Decimal: 7111767, Binary: 11011001000010001010111, Hexadecimal: 6C8457
Decimal: 2685897, Binary: 1010001111101111001001, Hexadecimal: 28FBC9
Decimal: 617946, Binary: 10010110110111011010, Hexadecimal: 96DDA
Decimal: 246280, Binary: 111100001000001000, Hexadecimal: 3C208
Decimal: 6075442, Binary: 10111001011010000110010, Hexadecimal: 5CB432
Decimal: 991323, Binary: 11110010000001011011, Hexadecimal: F205B
Decimal: 6754202, Binary: 11001110000111110011010, Hexadecimal: 670F9A
Decimal: 3103178, Binary: 1011110101100111001010, Hexadecimal: 2F59CA
Decimal: 3228842, Binary: 1100010100010010101010, Hexadecimal: 3144AA
Decimal: 6786623, Binary: 11001111000111000111111, Hexadecimal: 678E3F
Decimal: 5329085, Binary: 10100010101000010111101, Hexadecimal: 5150BD
Decimal: 2334647, Binary: 1000111001111110110111, Hexadecimal: 239FB7
Decimal: 7253396, Binary: 11011101010110110010100, Hexadecimal: 6EAD94
Decimal: 6516953, Binary: 11000110111000011011001, Hexadecimal: 6370D9
Decimal: 5972725, Binary: 10110110010001011110101, Hexadecimal: 5B22F5
Decimal: 5828037, Binary: 10110001110110111000101, Hexadecimal: 58EDC5
Decimal: 6642265, Binary: 11001010101101001011001, Hexadecimal: 655A59
Decimal: 2559699, Binary: 1001110000111011010011, Hexadecimal: 270ED3
Decimal: 6597631, Binary: 11001001010101111111111, Hexadecimal: 64ABFF
Decimal: 5826202, Binary: 10110001110011010011010, Hexadecimal: 58E69A
Decimal: 4642335, Binary: 10001101101011000011111, Hexadecimal: 46D61F
Decimal: 1862900, Binary: 111000110110011110100, Hexadecimal: 1C6CF4
Decimal: 6039635, Binary: 10111000010100001010011, Hexadecimal: 5C2853
Decimal: 3358744, Binary: 1100110100000000011000, Hexadecimal: 334018
Decimal: 4965249, Binary: 10010111100001110000001, Hexadecimal: 4BC381
Decimal: 6621475, Binary: 11001010000100100100011, Hexadecimal: 650923
Decimal: 3336153, Binary: 1100101110011111011001, Hexadecimal: 32E7D9
Decimal: 1044743, Binary: 11111111000100000111, Hexadecimal: FF107
Decimal: 6201477, Binary: 10111101010000010000101, Hexadecimal: 5EA085
Decimal: 6297100, Binary: 11000000001011000001100, Hexadecimal: 60160C
Decimal: 885678, Binary: 11011000001110101110, Hexadecimal: D83AE
Decimal: 8546891, Binary: 100000100110101001001011, Hexadecimal: 826A4B
Decimal: 6683923, Binary: 11001011111110100010011, Hexadecimal: 65FD13
Decimal: 7064472, Binary: 11010111100101110011000, Hexadecimal: 6BCB98
Decimal: 3430021, Binary: 1101000101011010000101, Hexadecimal: 345685
Decimal: 9764122, Binary: 100101001111110100011010, Hexadecimal: 94FD1A
Decimal: 9958605, Binary: 100101111111010011001101, Hexadecimal: 97F4CD
Decimal: 1006022, Binary: 11110101100111000110, Hexadecimal: F59C6
Decimal: 5276496, Binary: 10100001000001101010000, Hexadecimal: 508350
Decimal: 8876232, Binary: 100001110111000011001000, Hexadecimal: 8770C8
Decimal: 3364648, Binary: 1100110101011100101000, Hexadecimal: 335728
Decimal: 3539979, Binary: 1101100000010000001011, Hexadecimal: 36040B
Decimal: 3003857, Binary: 1011011101010111010001, Hexadecimal: 2DD5D1
Decimal: 4481634, Binary: 10001000110001001100010, Hexadecimal: 446262
Decimal: 9035781, Binary: 100010011110000000000101, Hexadecimal: 89E005
Decimal: 3767021, Binary: 1110010111101011101101, Hexadecimal: 397AED
Decimal: 4993901, Binary: 10011000011001101101101, Hexadecimal: 4C336D
Decimal: 8698377, Binary: 100001001011101000001001, Hexadecimal: 84BA09
Decimal: 4626501, Binary: 10001101001100001000101, Hexadecimal: 469845
Decimal: 1755352, Binary: 110101100100011011000, Hexadecimal: 1AC8D8
Decimal: 2755340, Binary: 1010100000101100001100, Hexadecimal: 2A0B0C
Decimal: 5150616, Binary: 10011101001011110011000, Hexadecimal: 4E9798
Decimal: 9345169, Binary: 100011101001100010010001, Hexadecimal: 8E9891
Decimal: 848948, Binary: 11001111010000110100, Hexadecimal: CF434
Decimal: 2708748, Binary: 1010010101010100001100, Hexadecimal: 29550C
Decimal: 8372451, Binary: 11111111100000011100011, Hexadecimal: 7FC0E3
Decimal: 3523015, Binary: 1101011100000111000111, Hexadecimal: 35C1C7
Decimal: 2624283, Binary: 1010000000101100011011, Hexadecimal: 280B1B
Decimal: 8795348, Binary: 100001100011010011010100, Hexadecimal: 8634D4
Decimal: 2318100, Binary: 1000110101111100010100, Hexadecimal: 235F14
Decimal: 4750861, Binary: 10010000111111000001101, Hexadecimal: 487E0D
Decimal: 3770597, Binary: 1110011000100011100101, Hexadecimal: 3988E5
Decimal: 1053352, Binary: 100000001001010101000, Hexadecimal: 1012A8
Decimal: 833307, Binary: 11001011011100011011, Hexadecimal: CB71B
Decimal: 4632526, Binary: 10001101010111111001110, Hexadecimal: 46AFCE
Decimal: 2212917, Binary: 1000011100010000110101, Hexadecimal: 21C435
Decimal: 5053189, Binary: 10011010001101100000101, Hexadecimal: 4D1B05
Decimal: 412218, Binary: 1100100101000111010, Hexadecimal: 64A3A
Decimal: 4901564, Binary: 10010101100101010111100, Hexadecimal: 4ACABC
Decimal: 5094606, Binary: 10011011011110011001110, Hexadecimal: 4DBCCE
Decimal: 8070285, Binary: 11110110010010010001101, Hexadecimal: 7B248D
Decimal: 6847905, Binary: 11010000111110110100001, Hexadecimal: 687DA1
Decimal: 4311824, Binary: 10000011100101100010000, Hexadecimal: 41CB10
Decimal: 3009421, Binary: 1011011110101110001101, Hexadecimal: 2DEB8D
Decimal: 1629105, Binary: 110001101101110110001, Hexadecimal: 18DBB1
Decimal: 8431899, Binary: 100000001010100100011011, Hexadecimal: 80A91B
Decimal: 7582456, Binary: 11100111011001011111000, Hexadecimal: 73B2F8
Decimal: 7332147, Binary: 11011111110000100110011, Hexadecimal: 6FE133
Decimal: 314183, Binary: 1001100101101000111, Hexadecimal: 4CB47
Decimal: 7632568, Binary: 11101000111011010111000, Hexadecimal: 7476B8
Decimal: 8161327, Binary: 11111001000100000101111, Hexadecimal: 7C882F
Decimal: 6961087, Binary: 11010100011011110111111, Hexadecimal: 6A37BF
Decimal: 6898282, Binary: 11010010100001001101010, Hexadecimal: 69426A
Decimal: 9749303, Binary: 100101001100001100110111, Hexadecimal: 94C337
Decimal: 4427419, Binary: 10000111000111010011011, Hexadecimal: 438E9B
Decimal: 4368829, Binary: 10000101010100110111101, Hexadecimal: 42A9BD
Decimal: 6439318, Binary: 11000100100000110010110, Hexadecimal: 624196
Decimal: 6473603, Binary: 11000101100011110000011, Hexadecimal: 62C783
Decimal: 6446249, Binary: 11000100101110010101001, Hexadecimal: 625CA9
Decimal: 9818836, Binary: 100101011101001011010100, Hexadecimal: 95D2D4
Decimal: 9438069, Binary: 100100000000001101110101, Hexadecimal: 900375
Decimal: 2809499, Binary: 1010101101111010011011, Hexadecimal: 2ADE9B
Decimal: 3460304, Binary: 1101001100110011010000, Hexadecimal: 34CCD0
Decimal: 8430904, Binary: 100000001010010100111000, Hexadecimal: 80A538
Decimal: 9774785, Binary: 100101010010011011000001, Hexadecimal: 9526C1
Decimal: 9560603, Binary: 100100011110001000011011, Hexadecimal: 91E21B
Decimal: 3440732, Binary: 1101001000000001011100, Hexadecimal: 34805C
Decimal: 7053263, Binary: 11010111001111111001111, Hexadecimal: 6B9FCF
Decimal: 287398, Binary: 1000110001010100110, Hexadecimal: 462A6
Decimal: 4043644, Binary: 1111011011001101111100, Hexadecimal: 3DB37C
Decimal: 2943820, Binary: 1011001110101101001100, Hexadecimal: 2CEB4C
Decimal: 9030962, Binary: 100010011100110100110010, Hexadecimal: 89CD32
Decimal: 7537540, Binary: 11100110000001110000100, Hexadecimal: 730384
Decimal: 7203657, Binary: 11011011110101101001001, Hexadecimal: 6DEB49
Decimal: 5639400, Binary: 10101100000110011101000, Hexadecimal: 560CE8
Decimal: 9448142, Binary: 100100000010101011001110, Hexadecimal: 902ACE
Decimal: 9954392, Binary: 100101111110010001011000, Hexadecimal: 97E458
Decimal: 2856859, Binary: 1010111001011110011011, Hexadecimal: 2B979B
Decimal: 1332118, Binary: 101000101001110010110, Hexadecimal: 145396
Decimal: 6984725, Binary: 11010101001010000010101, Hexadecimal: 6A9415
Decimal: 1925762, Binary: 111010110001010000010, Hexadecimal: 1D6282
Decimal: 2138171, Binary: 1000001010000000111011, Hexadecimal: 20A03B
Decimal: 347447, Binary: 1010100110100110111, Hexadecimal: 54D37
Decimal: 8839390, Binary: 100001101110000011011110, Hexadecimal: 86E0DE
Decimal: 3951652, Binary: 1111000100110000100100, Hexadecimal: 3C4C24
Decimal: 3755102, Binary: 1110010100110001011110, Hexadecimal: 394C5E
Decimal: 6867687, Binary: 11010001100101011100111, Hexadecimal: 68CAE7
Decimal: 4383175, Binary: 10000101110000111000111, Hexadecimal: 42E1C7
Decimal: 7125508, Binary: 11011001011101000000100, Hexadecimal: 6CBA04
Decimal: 7799732, Binary: 11101110000001110110100, Hexadecimal: 7703B4
Decimal: 8784156, Binary: 100001100000100100011100, Hexadecimal: 86091C
Decimal: 1372809, Binary: 101001111001010001001, Hexadecimal: 14F289
Decimal: 1327984, Binary: 101000100001101110000, Hexadecimal: 144370
Decimal: 9205087, Binary: 100011000111010101011111, Hexadecimal: 8C755F
